(FL-2022-000265-YEM, hasnirimage, FL-2022-000265-YEM-nir)
(FL-2022-000265-YEM-nir, hasLandCover, vegetation)  
(FL-2022-000265-YEM-nir, hasLandCover, water)  
(FL-2022-000265-YEM-nir, hasLandCover, builtSurfaces)  
(FL-2022-000265-YEM-nir, showsFeature, landscapePatterns)  
(FL-2022-000265-YEM-nir, hasVegetationHealth, healthyVegetation)  
(FL-2022-000265-YEM-nir, hasMoistureLevel, highMoisture)  
(FL-2022-000265-YEM-nir, showsSignsOf, floodingImpact)  
(FL-2022-000265-YEM-nir, includes, brightAreas)  
(FL-2022-000265-YEM-nir, includes, darkRegions)  
(FL-2022-000265-YEM-nir, containsFeature, waterBodies)  
(FL-2022-000265-YEM-nir, containsFeature, builtSurfaces)  
(FL-2022-000265-YEM-nir, isPartOf, satelliteImage)  
(FL-2022-000265-YEM-nir, mayIndicate, flooding)  
(FL-2022-000265-YEM-nir, likelyRepresents, affectedArea)  
(FL-2022-000265-YEM-nir, experiencing, flooding)
